,postal_code,Food_Services,Active_Life,Arts_and_Entertainment,Automotive,Beauty_and_Spas,Education,Event_Planning and Services,Financial_Services,Health_and_Medical,Home_Services,Hotels_and_Travel,Local_Services,Nightlife,Pets_Services,Professional_Services,Real_Estate,Restaurants,Shopping
104,10020,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
105,10021,4.0,3.0,5.0,-2.0,7.0,4.0,0.0,1.0,-5.0,4.0,3.0,1.0,4.0,-2.0,0.0,2.0,12.0,4.0
106,10022,-15.0,-11.0,2.0,-2.0,-32.0,-3.0,-4.0,-2.0,-17.0,-6.0,-8.0,-8.0,-2.0,-6.0,-1.0,-5.0,-93.0,-19.0
107,10023,-3.0,-7.0,-5.0,5.0,-3.0,-4.0,3.0,-0.0,-17.0,11.0,1.0,7.0,7.0,1.0,-1.0,0.0,58.0,-13.0
108,10024,-4.0,7.0,1.0,4.0,5.0,3.0,1.0,1.0,0.0,3.0,-0.0,-4.0,2.0,0.0,-1.0,-1.0,20.0,9.0
109,10025,9.0,8.0,0.0,-3.0,13.0,3.0,-1.0,1.0,18.0,-2.0,-1.0,4.0,-8.0,4.0,2.0,5.0,-36.0,21.0
110,10026,7.0,3.0,4.0,8.0,1.0,1.0,2.0,-2.0,1.0,8.0,1.0,-10.0,7.0,-2.0,-2.0,-5.0,17.0,22.0
111,10027,3.0,-4.0,-7.0,8.0,-1.0,-3.0,-4.0,-1.0,15.0,4.0,-4.0,-1.0,-9.0,5.0,3.0,2.0,-10.0,-13.0
112,10028,15.0,1.0,0.0,0.0,2.0,1.0,-0.0,0.0,3.0,-4.0,0.0,0.0,2.0,-2.0,0.0,1.0,44.0,4.0
113,10029,-18.0,-5.0,0.0,4.0,-12.0,-1.0,-1.0,1.0,7.0,0.0,0.0,-8.0,-3.0,-5.0,-1.0,-1.0,-49.0,3.0
114,10030,13.0,5.0,0.0,8.0,-17.0,-0.0,3.0,1.0,3.0,10.0,1.0,-1.0,5.0,1.0,1.0,0.0,32.0,19.0
115,10031,2.0,-3.0,3.0,3.0,-10.0,-2.0,3.0,-1.0,-8.0,-7.0,-3.0,-13.0,6.0,0.0,-3.0,-5.0,17.0,-2.0
116,10032,-2.0,-5.0,-3.0,4.0,2.0,-2.0,-1.0,-2.0,-22.0,-1.0,-1.0,-14.0,20.0,1.0,-4.0,-2.0,10.0,-11.0
117,10033,-0.0,-3.0,-2.0,4.0,-5.0,-1.0,-3.0,1.0,-11.0,-2.0,-3.0,-9.0,13.0,-4.0,-1.0,-2.0,22.0,-18.0
118,10034,6.0,1.0,-0.0,-2.0,-7.0,0.0,1.0,-2.0,-1.0,4.0,-0.0,-5.0,-14.0,-4.0,-0.0,-3.0,18.0,4.0
119,10035,-18.0,-6.0,-0.0,-10.0,-13.0,-4.0,-0.0,-2.0,-10.0,-1.0,-11.0,-4.0,14.0,-3.0,-2.0,-6.0,-8.0,-33.0
120,10036,7.0,10.0,-47.0,2.0,-1.0,2.0,0.0,1.0,8.0,2.0,-13.0,-3.0,-31.0,6.0,3.0,-1.0,-123.0,-36.0
121,10037,3.0,-1.0,-2.0,1.0,-4.0,-0.0,-2.0,2.0,-3.0,-2.0,1.0,-3.0,2.0,1.0,2.0,-2.0,10.0,1.0
122,10038,-25.0,-9.0,-5.0,2.0,-23.0,-5.0,-5.0,-2.0,-34.0,-1.0,-8.0,-11.0,2.0,-4.0,-6.0,-4.0,-55.0,-32.0
123,10039,1.0,-4.0,3.0,-1.0,-6.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,-0.0,11.0,-3.0,-3.0,-1.0,27.0,10.0
124,10040,-2.0,1.0,-2.0,5.0,2.0,-2.0,-3.0,1.0,-4.0,3.0,2.0,2.0,5.0,-1.0,-5.0,0.0,14.0,0.0
